joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque 1[Nm], DOB Torque 2[Nm], current_time
1.21722,1.21661,-0.00255472,-2.17876e-05,-4.75724,-9.35678,23.0563,0.788
1.21721,1.21661,-0.00257975,-1.21042e-05,-4.85259,-9.52222,23.0563,0.792
1.2172,1.21661,-0.00260489,-6.72457e-06,-4.93859,-9.68954,23.0563,0.796
1.21719,1.21661,-0.00263014,-4.21238e-05,-4.932,-9.76634,23.0563,0.8
1.21717,1.2166,-0.00265551,-6.179e-05,-4.9615,-9.83924,23.0563,0.804
1.21716,1.21661,-0.00268098,4.06012e-06,-5.18642,-10.1014,23.0563,0.808
1.21715,1.2166,-0.00270657,-3.61323e-05,-5.17021,-10.2058,23.0563,0.812
1.21714,1.2166,-0.00273227,-2.00735e-05,-5.28252,-10.378,23.0563,0.816
1.21713,1.2166,-0.00275808,-1.11519e-05,-5.37907,-10.5577,23.0563,0.82
1.21712,1.2166,-0.002784,-4.45834e-05,-5.37945,-10.6471,23.0563,0.824
1.21711,1.2166,-0.00281004,-2.47686e-05,-5.50153,-10.8189,23.0563,0.828
1.2171,1.2166,-0.00283618,-1.37603e-05,-5.60406,-11.0033,23.0563,0.832
1.21709,1.2166,-0.00286244,-7.64462e-06,-5.69593,-11.1862,23.0563,0.836
1.21707,1.2166,-0.0028888,-4.24701e-06,-5.78205,-11.3637,23.0563,0.84
1.21706,1.2166,-0.00291528,-2.35945e-06,-5.86517,-11.5359,23.0562,0.844
1.21705,1.2166,-0.00294186,-3.96987e-05,-5.85922,-11.6163,23.0563,0.848
1.21704,1.2166,-0.00296856,-6.04427e-05,-5.89131,-11.6938,23.0563,0.852
1.21703,1.2166,-0.00299536,-7.19672e-05,-5.94473,-11.7867,23.0563,0.856
1.21702,1.2166,-0.00302228,-7.83697e-05,-6.01019,-11.8978,23.0562,0.86
1.217,1.2166,-0.0030493,-8.19266e-05,-6.08252,-12.0246,23.0563,0.864
1.21699,1.2166,-0.00307644,-4.55148e-05,-6.24645,-12.251,23.0563,0.868
1.21698,1.2166,-0.00310368,-6.36739e-05,-6.28652,-12.3986,23.0563,0.872
1.21697,1.2166,-0.00313104,-3.53744e-05,-6.4329,-12.6225,23.0563,0.876
1.21695,1.2166,-0.0031585,-1.96524e-05,-6.5512,-12.8489,23.0563,0.88
1.21694,1.2166,-0.00318607,-4.93059e-05,-6.56649,-12.9769,23.0563,0.884
1.21693,1.2166,-0.00321375,-6.57801e-05,-6.61208,-13.0918,23.0563,0.888
1.21692,1.2166,-0.00324154,-0.00011332,-6.58711,-13.1257,23.0563,0.892
1.2169,1.2166,-0.00326944,-0.000139732,-6.61046,-13.1706,23.0563,0.896
1.21689,1.2166,-0.00329745,-0.000192792,-6.57327,-13.1557,23.0563,0.9
1.21688,1.2166,-0.00332556,-0.000145495,-6.76515,-13.3436,23.0563,0.904
1.21686,1.2166,-0.00335378,-0.000119218,-6.9098,-13.5712,23.0563,0.908
1.21685,1.2166,-0.00338211,-0.000181396,-6.85322,-13.625,23.0563,0.912
1.21684,1.2166,-0.00341055,-6.23877e-05,-7.21008,-14.0181,23.0563,0.916
1.21682,1.2166,-0.0034391,-7.30477e-05,-7.27228,-14.259,23.0562,0.92
1.21681,1.2166,-0.00346775,-7.897e-05,-7.34564,-14.4593,23.0563,0.924
1.21679,1.2166,-0.00349651,-8.22601e-05,-7.4254,-14.6421,23.0563,0.928
1.21678,1.2166,-0.00352538,-8.4088e-05,-7.50891,-14.8184,23.0563,0.932
1.21677,1.2166,-0.00355436,-8.51034e-05,-7.59469,-14.9928,23.0563,0.936
1.21675,1.2166,-0.00358344,-0.000162443,-7.50674,-14.9922,23.0563,0.94
1.21674,1.2166,-0.00361263,-9.02463e-05,-7.75992,-15.2549,23.0563,0.944
1.21672,1.21659,-0.00364193,-0.000126913,-7.76561,-15.3783,23.0563,0.948
1.21671,1.21659,-0.00367133,-0.000108895,-7.89626,-15.5769,23.0563,0.952
1.21669,1.21659,-0.00370084,-9.88851e-05,-8.00919,-15.7857,23.0563,0.956
1.21668,1.21659,-0.00373045,-0.000131712,-8.02488,-15.9048,23.0563,0.96
1.21666,1.21659,-0.00376018,-0.000188337,-7.98648,-15.9308,23.0563,0.964
1.21665,1.21659,-0.00379,-0.000258183,-7.91799,-15.881,23.0563,0.968
1.21663,1.21659,-0.00381994,-0.000296987,-7.92031,-15.8633,23.0563,0.972
1.21662,1.21659,-0.00384998,-0.000318544,-7.96216,-15.8951,23.0563,0.976
1.2166,1.21659,-0.00388012,-0.000368909,-7.93857,-15.8845,23.0563,0.98
1.21659,1.21659,-0.00391037,-0.000320113,-8.14135,-16.084,23.0563,0.984
1.21657,1.21658,-0.00394073,-0.000331392,-8.20781,-16.2388,23.0563,0.988
1.21656,1.21658,-0.00397119,-0.00029927,-8.37366,-16.4832,23.0563,0.992
1.21654,1.21658,-0.00400175,-0.000319813,-8.41999,-16.6469,23.0563,0.996
1.21652,1.21658,-0.00403243,-0.000331225,-8.48745,-16.8002,23.0563,1
1.21651,1.21658,-0.0040632,-0.000414342,-8.39166,-16.782,23.0563,1.004
1.21649,1.21658,-0.00409408,-0.000345353,-8.64284,-17.0338,23.0563,1.008
1.21647,1.21658,-0.00412507,-0.000383803,-8.64976,-17.1527,23.0563,1.012
1.21646,1.21657,-0.00415615,-0.000405163,-8.69585,-17.264,23.0563,1.016
1.21644,1.21657,-0.00418735,-0.00041703,-8.76391,-17.3888,23.0563,1.02
1.21642,1.21657,-0.00421865,-0.000538787,-8.58159,-17.2682,23.0563,1.024
1.21641,1.21657,-0.00425005,-0.000529653,-8.69758,-17.3375,23.0563,1.028
1.21639,1.21657,-0.00428155,-0.000486191,-8.89239,-17.558,23.0563,1.032
1.21637,1.21656,-0.00431316,-0.000423658,-9.13145,-17.8979,23.0563,1.036
1.21636,1.21656,-0.00434487,-0.000427305,-9.22034,-18.149,23.0563,1.04
1.21634,1.21656,-0.00437669,-0.000467719,-9.22575,-18.284,23.0563,1.044
1.21632,1.21656,-0.00440861,-0.000413396,-9.44751,-18.5802,23.0563,1.048
1.2163,1.21656,-0.00444063,-0.000459992,-9.43978,-18.7124,23.0563,1.052
